pmid,title,authors,year,journal,doi,url,doi_url,relevance_score,citation_count,is_high_quality,topic_tags,ai_method,ai_summary,ai_finding,keywords,abstract
41953315,Moral elevation and prosocial behavior in college students: the mediating role of gratitude and the moderating role of empathy.,Zhang Yuemei; Bu Mingwei; Liu Haitao,2026,Frontiers in psychology,10.3389/fpsyg.2026.1784102,https://pubmed.ncbi.nlm.nih.gov/41953315/,https://doi.org/10.3389/fpsyg.2026.1784102,68.0,0,False,altruism; empathy; development; moral,,,,,"With growing attention to moral development in society, the moral cognition and behavior of college students have become important topics of interest. Moral elevation may influence individuals' sense of obligation toward others and is thought to relate to prosocial conduct through affective pathways, including but not limited to gratitude. Grounded in the Social Intuitionist Model and the Empathy-Altruism Hypothesis, this study proposes a moderated mediation model to explore the relationship between moral elevation and prosocial behavior, with gratitude as a mediator and empathy as a moderator. Using standardized questionnaires, data were collected from 1,261 college students on moral elevation, gratitude, empathy, and prosocial behavior. Among the participants, 54.08% were male ( The results suggest that moral elevation is positively associated with prosocial behavior, and that gratitude may play a mediating role in this association. Furthermore, empathy appears to moderate the relationship between moral elevation and prosocial behavior, with the effect being more pronounced among individuals with lower levels of empathy. This study explores the role of gratitude and empathy in connecting moral elevation with prosocial behavior in college students. These findings yield important implications for theory development and practical applications within educational and psychological domains, particularly in promoting gratitude, enhancing empathy, and fostering prosocial behavior."
39365808,Empathic pain: Underlying neural mechanism.,Zhang Ming-Ming; Chen Tao,2025,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",10.1177/10738584241283435,https://pubmed.ncbi.nlm.nih.gov/39365808/,https://doi.org/10.1177/10738584241283435,66.9,5,False,altruism; empathy; development; neuroscience,,,,Empathy; Humans; Brain; Animals; Pain; Neural Pathways,"Empathy is usually regarded as the ability to perceive the emotional state of others, which is an altruistic motivation to promote prosocial behavior and thus plays a key role in human life and social development. Empathic pain-the capacity to feel and understand the pain of others-constitutes a significant aspect in the study of empathy behaviors. For an extended duration, investigations into empathic pain have predominantly centered on human neuroimaging studies. Fortunately, recent advancements have witnessed the utilization of animal models in the exploration of the fundamental neural underpinnings of empathic pain. There is substantial evidence implicating multiple brain regions and neural networks in the generation and maintenance of empathic pain. Nevertheless, further elucidation of the neural mechanisms underlying empathic pain is warranted. This review provides a concise overview of prior studies on the neural mechanisms of empathic pain, outlining the pertinent brain regions, neural pathways, synaptic mechanisms, and associated molecules while also delving into future prospects."
42002426,How developing prosocial motivations shape children's altruism.,Hepach Robert; Daniel Ella,2026,Trends in cognitive sciences,10.1016/j.tics.2026.03.007,https://pubmed.ncbi.nlm.nih.gov/42002426/,https://doi.org/10.1016/j.tics.2026.03.007,62.0,0,True,altruism; development,,,,,"Developmental perspectives are crucial to harnessing the human potential for altruism. We synthesise and highlight recent research on the motivations underlying children's (costly) prosocial behaviour. The order in which children develop intrinsic, extrinsic, and strategic motivations to benefit others has implications for efforts to positively impact young people's lives."
39326637,Neural mechanisms of cooperation and fairness in iterative prisoner's dilemma.,Zou Xizhuo; Li Dandan; Turel Ofir; He Qinghua,2025,Behavioural brain research,10.1016/j.bbr.2024.115272,https://pubmed.ncbi.nlm.nih.gov/39326637/,https://doi.org/10.1016/j.bbr.2024.115272,61.9,2,False,cooperation; neuroscience; decision_making,,,,Humans; Female; Prisoner Dilemma; Male; Cooperative Behavior; Young Adult; Magnetic Resonance Imaging; Brain; Decision Making; Brain Mapping; Adult,"Cooperation is a universal human principle reflecting working with others to achieve common goals. The rational decision-making model contends that cooperation is the best strategy for maximizing benefits in an iterative prisoner's dilemma. However, the motivations for cooperation (or betrayal) are complex and diverse, and often include fairness reflections. In this study, we used functional magnetic resonance imaging to study underlying neural differences in brain regions related to fairness when people interact with an opponent who tend to cooperate or betray, at different decision-making stages. Results based on 40 university students (25 women) indicate that experiences of cooperation or betrayal affect people's fairness perception. Distinct neural activities occur in expectation, decision, and outcome phases of decisions. In the expectation phase, those in the cooperative condition exhibited increased activation in the anterior cingulate gyrus, medial superior frontal gyrus, and caudate nucleus compared to those in the uncooperative condition. During the decision phase, those in the cooperative condition showed greater activation in the middle frontal gyrus, caudate nucleus/frontal insula, inferior frontal gyrus, and cingulate gyrus compared to those in the uncooperative condition. In the outcome feedback phase, the caudate nucleus, insula, cingulate gyrus, and inferior frontal gyrus of the orbit were more active in the uncooperative condition than in the cooperative condition. Results also showed a significant correlation between caudate activity and the perception of fairness when expecting uncooperative conditions."
40590479,Unveiling the Neural Pathways of Empathic Pain: Implications for Modulation Strategies and Beyond.,Zhang Yingying; Zhang Kun; Gong Hengxin; Zhao Minggao; Luo Lanxin,2025,Journal of neuroscience research,10.1002/jnr.70063,https://pubmed.ncbi.nlm.nih.gov/40590479/,https://doi.org/10.1002/jnr.70063,61.0,0,True,empathy; development; neuroscience; moral,,,,Humans; Empathy; Pain; Brain; Neural Pathways; Animals,"Empathic pain, a core manifestation of empathy, encompasses an individual's perceptual sensitivity, evaluative judgment, and emotional responsiveness to the suffering of others. This capacity is vital for healthy social interaction, as it fosters prosocial behavior, inhibits aggression, and upholds moral norms critical to social development. This article provides a comprehensive review of current research on empathic pain, examining its conceptual foundations and the underlying neural mechanisms. In particular, it explores the activation of key brain regions, including the anterior cingulate cortex, insula, amygdala, and cerebellum, as well as the neural circuits linking these areas. Additionally, the paper summarizes various influencing factors and modulatory strategies related to empathic pain. These insights enhance our understanding of emotional resonance and establish a solid basis for developing clinical modulation models. Future research should adopt a multidisciplinary approach, incorporating advanced neuroimaging techniques, behavioral experiments, and broader clinical trials to further elucidate empathic pain and inform the development of more effective treatment strategies."
41937819,The mechanisms through which the family music environment influences young children's empathy: the mediating role of music emotional contagion and the moderating role of parent-child relationship quality.,Zhou Yuanyuan,2026,Frontiers in psychology,10.3389/fpsyg.2026.1788616,https://pubmed.ncbi.nlm.nih.gov/41937819/,https://doi.org/10.3389/fpsyg.2026.1788616,60.0,0,False,empathy; development,,,,,"To explore the psychological mechanisms underlying the association between the family music environment and young children's empathy, with a specific focus on the mediating role of music emotional contagion and the moderating role of parent-child relationship quality. A quantitative research design combining cross-sectional surveys and situational experiments was employed. A total of 368 parent-child dyads (children aged 3-6 years) were recruited from six public kindergartens across eastern, central, and western China. Measurements included the revised Family Music Environment Scale (FMES), Young Children's Empathy Rating Scale (YCERS), Music Emotional Contagion Scale (MECS), and Parent-Child Attachment Scale (PCAS). Data were analyzed using SPSS 26.0, AMOS 24.0, and Hayes' PROCESS macro. (1) The family music environment, music emotional contagion, parent-child relationship quality, and children's empathy were all significantly and positively correlated ( The family music environment appears to promote children's empathy not directly, but largely by activating the mechanism of music emotional contagion. This pathway remained robust across varying levels of parent-child relationship quality, suggesting that the family music environment may serve as a potential compensatory resource for fostering socio-emotional development in early childhood."
40314107,Altruistic or fair? The influence of empathy on third-party punishment: an event-related potential study.,Zhang Guanfei; Tan Min; Li Jin; Zhong Yiping,2025,Social cognitive and affective neuroscience,10.1093/scan/nsaf042,https://pubmed.ncbi.nlm.nih.gov/40314107/,https://doi.org/10.1093/scan/nsaf042,59.4,2,True,altruism; empathy; neuroscience; decision_making,,,,Humans; Empathy; Punishment; Altruism; Male; Female; Evoked Potentials; Young Adult; Electroencephalography; Decision Making; Adult; Brain,"Although most individuals strongly prefer social fairness and punish behaviours that violate fairness norms, recent psychological studies have shown that empathy towards 'perpetrators' who violate fairness norms can affect people's fairness decision-making, resulting in tolerance for unfair behaviour, even as direct 'victims' of unfair behaviour. However, in real life, people more often view unfair events from a third-party perspective, and little is known about how empathy affects fairness decisions by third parties whose self-interests are not threatened and their neurocognitive mechanisms. The present study examined effects of empathy directed towards a 'perpetrator' on third-party punishment using event-related potentials. The results suggest that, in the nonempathy condition, unfair offers induced stronger unfairness aversion in third-party decision makers and increased motivation and cognitive resource investment to alleviate this negative emotion compared to fair offers, reflecting the greater amplitude differences of fairness effects on the anterior N1 component, medial frontal negative, and smaller late positive components in the nonempathy condition. However, in the empathy condition, the differential impact of the fairness effect disappeared. These findings reveal the neural basis for trade-offs between altruistic and fairness motives in third-party fairness decision-making processes involving empathy."
39962726,Parental reflective functioning and internalizing symptoms predict altruistic prosocial behaviour in children.,McGlade Daniel; Rutherford Helena; McCrory Eamon; Steinbeis Nikolaus,2025,The British journal of developmental psychology,10.1111/bjdp.12551,https://pubmed.ncbi.nlm.nih.gov/39962726/,https://doi.org/10.1111/bjdp.12551,59.0,0,True,altruism; development,,,,Humans; Male; Child; Female; Altruism; Child Behavior; Longitudinal Studies; Adolescent; Parents; Social Behavior; Parent-Child Relations; Behavioral Symptoms,"Mental health has a profound impact on how we interact with the world. How it shapes prosocial behaviour during middle childhood, a period crucial for establishing healthy relationships, remains poorly understood. Moreover, whilst child mental health and prosocial behaviour are influenced by caregiving experience more broadly, less is known about how they are shaped by parental reflective functioning (PRF), that is parents' capacity to represent their child's underlying mental states. A longitudinal design, with assessments at baseline and 1 year follow-up, was used with 233 children (111 boys; 6-13 years old; 54.9% White, 17.2% Asian, 2.58% Black, 14.2% Multiple ethnic groups, 2.58% Other, 8.58% data unavailable). Using path modelling, we examined interrelations between baseline PRF, baseline child internalizing symptoms, and follow-up child altruistic prosocial behaviour. At baseline, PRF was associated with child internalizing symptoms, whilst PRF and internalizing symptoms positively predicted altruistic behaviour 1 year later. These findings suggest that mental health and caregiving experience are key influences on altruistic behaviour in childhood."
36942653,"Empathy, sympathy, and altruism-An evident triad based on compassion. A theoretical model for caring.",Arman Maria,2023,Scandinavian journal of caring sciences,10.1111/scs.13163,https://pubmed.ncbi.nlm.nih.gov/36942653/,https://doi.org/10.1111/scs.13163,58.3,35,True,altruism; empathy; development,,,,"Humans; Empathy; Altruism; Emotions; Delivery of Health Care; Models, Theoretical","Based on existing confusion and a suggested contradiction regarding empathy and compassion in relation to caring science as well as in clinical health care. The aim of the study was to find a knowledge base for the development of clinical caring science for, empathy, sympathy altruism, and compassion and their mutual relationship. A theoretical paper. The text discusses the different concepts separately, considering their history, research, obstacles, and bias and then brings them together in a concept model. The conclusion shows that empathy, sympathy, and altruism have no contradictions. Instead, they together form an evident triad based on compassion. Compassion is a prerequisite and a basis for the others to work. In clinical application, empathy is metaphorically a quality coming from the head, sympathy from the heart and altruism from the hand, merged in an attitude of compassion as a motif to care. The paper also reflects on the possibilities to increase and develop a compassionate mood and capacity by education and training."
41997267,Distinct neurodynamics underlie empathy for infant pain: An EEG study of temporal and oscillatory mechanisms.,Liu Chunyan; Jiang Yi,2026,NeuroImage,10.1016/j.neuroimage.2026.121928,https://pubmed.ncbi.nlm.nih.gov/41997267/,https://doi.org/10.1016/j.neuroimage.2026.121928,57.5,0,True,empathy; development; neuroscience,,,,,"Protecting infants from harm is widely considered a fundamental evolutionary imperative and a cross-cultural universal. While adults exhibit heightened empathic responses to infant pain, the underlying neurocognitive dynamics remain unclear. Using EEG during a pain empathy paradigm, we identified distinct neural responses to infant pain compared to adult pain. Relative to adult"
